date,logger3,logger4,logger6,logger7,logger8,logger9,logger10,logger11,logger12,logger13,logger14,logger15
20150820,0,0,0,1321,7321,7308,0,0,0,0,0,0
20150821,0,0,0,1321,7321,7308,0,0,0,0,0,0
20150822,0,0,0,1321,7321,7308,0,0,0,0,0,0
20150823,0,0,0,1321,7321,7308,0,0,0,0,0,0
20150824,0,0,0,1321,7321,7308,0,0,0,0,0,0
20150825,0,0,0,1321,7321,7308,0,0,0,0,0,0
20150826,0,0,0,1321,7321,7308,0,0,0,0,0,0
20150827,0,0,0,1321,7321,7308,0,0,0,0,0,0
20150828,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150829,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150830,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150831,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150901,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150902,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150903,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150904,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150905,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150906,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150907,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150908,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150909,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150910,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150911,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150912,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150913,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150914,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150915,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150916,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150917,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150918,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150919,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150920,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150921,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150922,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150923,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150924,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150925,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150926,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150927,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150928,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150929,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20150930,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20151001,0,0,0,1321,7321,7308,0,0,1330,0,0,0
20151002,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151003,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151004,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151005,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151006,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151007,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151008,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151009,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151010,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151011,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151012,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151013,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151014,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151015,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151016,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151017,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151018,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151019,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151020,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151021,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151022,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151023,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151024,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151025,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151026,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151027,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151028,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151029,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151030,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151031,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151101,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151102,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151103,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151104,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151105,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151106,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151107,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151108,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151109,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151110,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151111,1325,7914,0,1321,7321,7308,1328,7301,1330,1005,7305,0
20151112,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,0
20151113,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,0
20151114,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,0
20151115,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,0
20151116,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,0
20151117,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,0
20151118,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151119,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151120,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151121,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151122,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151123,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
20151124,1325,7914,1330,1321,7321,7308,1328,7301,0,1005,7305,7305
